,annee,G(i),WS10m,latitude,longitude
475,2016,138.19787340619305,3.7689241803278692,47.0,2
476,2013,124.44986986301372,3.11713698630137,47.5,2
477,2014,141.97545319634702,3.08428196347032,47.5,2
478,2015,143.91373287671234,3.1993732876712326,47.5,2
479,2016,138.1499635701275,3.7689241803278692,47.5,2
480,2013,127.7458299086758,3.4691883561643837,48.0,2
481,2014,142.3537203196347,3.381823059360731,48.0,2
482,2015,144.24769292237443,3.520111872146119,48.0,2
483,2016,128.91809084699455,3.900906193078324,48.0,2
484,2013,129.35836757990867,3.9509657534246574,48.5,2
485,2014,140.04916666666665,3.8147260273972603,48.5,2
486,2015,145.52011529680365,4.013041095890411,48.5,2
487,2016,129.8569250910747,3.9535598816029145,48.5,2
488,2013,125.69046803652968,3.5363196347031964,49.0,2
489,2014,135.50854109589042,3.3668618721461185,49.0,2
490,2015,141.07826598173517,3.6150456621004565,49.0,2
491,2016,124.98385701275045,3.9535598816029145,49.0,2
492,2013,121.86844406392694,3.965925799086758,49.5,2
493,2014,131.0302305936073,3.7457831050228307,49.5,2
494,2015,136.35199657534247,4.025992009132421,49.5,2
495,2016,127.28437841530054,4.095389344262295,49.5,2
496,2013,119.32565525114155,4.003179223744292,50.0,2
497,2014,128.6777317351598,3.8520011415525115,50.0,2
498,2015,134.2237488584475,4.1267214611872145,50.0,2
499,2016,131.48760701275043,4.428844489981786,50.0,2
500,2013,116.9018892694064,4.185344748858448,50.5,2
501,2014,127.22209360730594,4.013125570776256,50.5,2
502,2015,129.87563470319634,4.327713470319634,50.5,2
503,2016,129.01812955373407,4.428844489981786,50.5,2
504,2013,174.17421347031964,3.5370251141552513,42.0,3
505,2014,177.81711872146118,3.153931506849315,42.0,3
506,2015,188.24406621004567,3.208478310502283,42.0,3
507,2016,182.1851627959927,2.6905510018214938,42.0,3
508,2013,163.54584474885846,4.442062785388128,42.5,3
509,2014,167.1833196347032,3.857876712328767,42.5,3
510,2015,180.32428538812786,3.517178082191781,42.5,3
511,2016,171.07231215846994,5.102289389799636,42.5,3
512,2013,168.26228310502285,6.827892694063927,43.0,3
513,2014,174.85903310502283,6.2896609589041095,43.0,3
514,2015,180.0602625570776,6.291288812785388,43.0,3
515,2016,159.5577948542805,5.102289389799636,43.0,3
516,2013,167.20897031963472,3.4902043378995433,43.5,3
517,2014,172.26591666666667,3.391961187214612,43.5,3
518,2015,180.90075228310502,3.2673150684931507,43.5,3
519,2016,154.87291438979963,3.8456944444444447,43.5,3
520,2013,144.68215068493149,4.171162100456621,44.0,3
521,2014,155.18476598173515,3.9944235159817354,44.0,3
522,2015,162.09033333333335,3.987513698630137,44.0,3
523,2016,153.35320924408015,3.5900819672131146,44.0,3
524,2013,144.72724543378993,3.1912568493150686,44.5,3
525,2014,154.57072374429225,2.9975605022831053,44.5,3
526,2015,167.21356164383562,2.9202682648401828,44.5,3
527,2016,150.22989526411658,3.5900819672131146,44.5,3
528,2013,137.48538698630136,3.2352716894977167,45.0,3
529,2014,150.17938926940639,3.029332191780822,45.0,3
530,2015,161.5707408675799,2.9254737442922374,45.0,3
531,2016,150.38288592896174,3.4593977686703097,45.0,3
532,2013,127.43029794520547,2.889219178082192,45.5,3
533,2014,140.99289497716896,2.6492899543378994,45.5,3
534,2015,150.39000570776255,2.660963470319635,45.5,3
535,2016,133.39384221311477,3.4338262750455373,45.5,3
536,2013,134.68666438356163,2.6402123287671233,46.0,3
537,2014,148.1075102739726,2.4628036529680366,46.0,3
538,2015,155.72520662100456,2.4224908675799086,46.0,3
539,2016,139.08504098360655,3.4338262750455373,46.0,3
540,2013,131.8654497716895,2.9326849315068495,46.5,3
541,2014,149.69491894977168,2.875898401826484,46.5,3
542,2015,154.69706278538814,2.9084132420091326,46.5,3
543,2016,137.8654633424408,3.532663934426229,46.5,3
544,2013,130.8220399543379,2.862464611872146,47.0,3
545,2014,147.06031278538813,2.8283892694063923,47.0,3
546,2015,151.46520547945204,2.8593504566210046,47.0,3
547,2016,136.41310109289617,3.6489469489981783,47.0,3
548,2013,130.16208333333336,3.3015730593607304,47.5,3
549,2014,144.43040867579907,3.23701598173516,47.5,3
550,2015,149.44491666666667,3.3190148401826485,47.5,3
551,2016,135.9220377959927,3.6489469489981783,47.5,3
552,2013,129.14926598173517,3.6792397260273972,48.0,3
553,2014,143.85099657534246,3.6217328767123287,48.0,3
554,2015,145.8200696347032,3.7735662100456624,48.0,3
555,2016,130.7919922586521,3.8289139344262297,48.0,3
556,2013,130.33427511415525,3.6523698630136985,48.5,3
557,2014,140.8420810502283,3.5523493150684935,48.5,3
558,2015,145.03381735159817,3.7325296803652965,48.5,3
559,2016,127.14115437158469,3.8975546448087433,48.5,3
560,2013,126.59716894977169,3.7927237442922377,49.0,3
561,2014,137.61209360730592,3.6997762557077625,49.0,3
562,2015,143.02441666666667,3.8645148401826486,49.0,3
563,2016,124.03670423497267,3.8975546448087433,49.0,3
564,2013,122.67809246575344,3.6732488584474887,49.5,3
565,2014,132.33792579908675,3.5360285388127854,49.5,3
