,annee,Energie_recue,Energie_fournie,latitude,longitude,rendement_annuel,retour_énergétique
55,2016,1685474.69,228965.77996644317,41.0,-4,0.1358464658798544,13.628915474193045
56,2013,1580488.13,216035.09746856327,41.5,-4,0.13668884528007388,12.859231992176385
57,2014,1661742.16,225995.48866696376,41.5,-4,0.13599913037469288,13.452112420652606
58,2015,1690097.77,229471.41433205726,41.5,-4,0.13577404716181435,13.659012757860552
59,2016,1674287.79,227594.45228832818,41.5,-4,0.13593508454620468,13.5472888266862
60,2013,1568472.77,214562.21438830727,42.0,-4,0.1367969010952656,12.771560380256386
61,2014,1656504.43,225353.43017716828,42.0,-4,0.13604154996263323,13.413894653402874
62,2015,1691387.45,229629.50762688526,42.0,-4,0.13576398927808367,13.668423073028885
63,2016,1672411.16,227364.40869621767,42.0,-4,0.13595006666675058,13.533595755727243
64,2013,1493294.8,205346.64697950776,42.5,-4,0.13751246370074266,12.223014701161176
65,2014,1595696.91,217899.44067037627,42.5,-4,0.13655440410069872,12.97020480180811
66,2015,1594423.45,217743.33567748527,42.5,-4,0.13656556272895087,12.960912837945552
67,2016,1643286.48,223794.20785413968,42.5,-4,0.13618697079169037,13.321083800841647
68,2013,1287807.71,180157.35110555627,43.0,-4,0.139894605154644,10.723651851521206
69,2014,1417423.02,196046.03001664477,43.0,-4,0.13831158888377923,11.669406548609809
70,2015,1401791.05,194129.81076694527,43.0,-4,0.13848698118520963,11.555345878984838
71,2016,1381711.45,191729.46440038917,43.0,-4,0.13876230409785573,11.412468119070784
72,2013,1169931.36,165707.67323678377,48.0,-4,0.14163879942220178,9.863551978379986
73,2014,1237341.5,173971.03402195277,48.0,-4,0.1406006620015192,10.355418691782903
74,2015,1191103.33,168303.00424548326,48.0,-4,0.14130008707597455,10.01803596699305
75,2016,1149728.1,163292.16821316667,48.0,-4,0.14202676981902648,9.719771917450398
76,2013,1071561.77,153649.19935645728,48.5,-4,0.14338809358275004,9.1457856759796
77,2014,1170198.91,165740.47041207628,48.5,-4,0.14163444265392136,9.865504191195017
78,2015,1115405.06,159023.65671967878,48.5,-4,0.14257032034593672,9.465693852361833
79,2016,1162775.96,164891.61860229768,48.5,-4,0.1418085893367607,9.814977297755814
80,2013,1018707.87,147170.19123389228,50.5,-4,0.14446751180384254,8.760130430588827
81,2014,1073698.72,153911.1538462398,50.5,-4,0.14334668653254964,9.161378205133321
82,2015,1050960.98,151123.8855056108,50.5,-4,0.14379590525388564,8.995469375333975
