,annee,G(i),WS10m,latitude,longitude
300,2013,192.41796461187212,3.364005707762557,41.5,1
301,2014,191.97396347031963,2.855689497716895,41.5,1
302,2015,194.10056621004566,2.6647671232876715,41.5,1
303,2016,198.22570013661203,2.7551730418943534,41.5,1
304,2013,190.42845662100456,2.3139611872146117,42.0,1
305,2014,190.76710616438356,2.198050228310502,42.0,1
306,2015,196.2257111872146,2.0774497716894977,42.0,1
307,2016,196.3778756830601,2.5555077413479053,42.0,1
308,2013,149.3953002283105,1.8907442922374427,42.5,1
309,2014,154.6554589041096,1.6186632420091325,42.5,1
310,2015,169.25273401826485,1.554859589041096,42.5,1
311,2016,176.3387283697632,2.284394353369763,42.5,1
312,2013,129.63055022831048,1.7602488584474887,43.0,1
313,2014,139.30893264840182,1.5924828767123287,43.0,1
314,2015,140.08067579908675,1.53313698630137,43.0,1
315,2016,153.42666438979964,2.284394353369763,43.0,1
316,2013,150.99150228310504,3.0630776255707763,43.5,1
317,2014,164.02674429223745,3.042077625570776,43.5,1
318,2015,163.4374794520548,2.9682979452054794,43.5,1
319,2016,158.74687613843352,2.6950671675774136,43.5,1
320,2013,152.0062728310502,3.1358070776255706,44.0,1
321,2014,163.21177968036528,3.0993755707762554,44.0,1
322,2015,167.5073595890411,3.025423515981735,44.0,1
323,2016,158.43700591985427,3.1038763661202187,44.0,1
324,2013,147.7711689497717,3.1316632420091324,44.5,1
325,2014,158.0424109589041,3.0885148401826483,44.5,1
326,2015,163.80635502283104,3.0262922374429224,44.5,1
327,2016,155.6559107468124,3.1038763661202187,44.5,1
328,2013,143.1024988584475,2.6700468036529683,45.0,1
329,2014,154.01404223744294,2.6418424657534247,45.0,1
330,2015,159.2398698630137,2.557728310502283,45.0,1
331,2016,151.51220856102003,3.2552675318761386,45.0,1
332,2013,139.25445433789955,2.8750308219178082,45.5,1
333,2014,150.937600456621,2.811101598173516,45.5,1
334,2015,157.34410159817352,2.778788812785388,45.5,1
335,2016,144.08881489071038,3.5002527322404373,45.5,1
336,2013,135.12327168949773,3.1067100456621004,46.0,1
337,2014,148.19395205479452,3.059159817351598,46.0,1
338,2015,151.61490981735162,3.0390136986301366,46.0,1
339,2016,141.1751115664845,3.5002527322404373,46.0,1
340,2013,135.0135582191781,3.116425799086758,46.5,1
341,2014,150.37767808219178,3.119827625570776,46.5,1
342,2015,152.81867922374428,3.186017123287671,46.5,1
343,2016,141.2473816029144,3.7515027322404366,46.5,1
344,2013,134.7971289954338,3.3016917808219177,47.0,1
345,2014,148.70735388127852,3.238892694063927,47.0,1
346,2015,149.9146381278539,3.3089212328767124,47.0,1
347,2016,140.4222871129326,3.840579462659381,47.0,1
348,2013,130.0544406392694,3.520349315068493,47.5,1
349,2014,145.17966552511413,3.471369863013699,47.5,1
350,2015,147.33927739726028,3.5725068493150687,47.5,1
351,2016,138.37659949908925,3.840579462659381,47.5,1
352,2013,129.56589497716894,3.8490787671232876,48.0,1
353,2014,144.51107534246574,3.7185296803652967,48.0,1
354,2015,146.4987408675799,3.9017043378995435,48.0,1
355,2016,131.53878301457195,4.002750455373406,48.0,1
356,2013,127.26614497716895,4.118718036529681,48.5,1
357,2014,137.59689726027398,3.973695205479452,48.5,1
358,2015,141.708901826484,4.156198630136987,48.5,1
359,2016,130.8437716302368,4.091583561020037,48.5,1
360,2013,124.39046232876711,4.039812785388128,49.0,1
361,2014,134.30927625570777,3.9047899543378994,49.0,1
362,2015,140.23232762557078,4.0731894977168945,49.0,1
363,2016,129.560404143898,4.091583561020037,49.0,1
364,2013,120.52010273972604,3.619142694063927,49.5,1
365,2014,129.52546575342467,3.4611152968036527,49.5,1
366,2015,133.60333675799086,3.6800308219178084,49.5,1
367,2016,133.51749089253187,4.804149590163934,49.5,1
368,2013,118.21349543378994,5.035512557077626,52.0,1
369,2014,128.87311415525113,4.91475,52.0,1
370,2015,124.26178424657535,4.974447488584476,52.0,1
371,2016,120.6586532331512,5.178221766848816,52.0,1
372,2013,114.66804794520547,4.64143493150685,52.5,1
373,2014,122.41240410958903,4.551739726027397,52.5,1
374,2015,120.90049429223745,4.827589041095891,52.5,1
375,2016,116.54247381602914,5.302943989071038,52.5,1
376,2013,187.8968105022831,2.990562785388128,41.5,2
377,2014,189.99636415525114,2.789738584474886,41.5,2
378,2015,197.0740422374429,2.6867340182648403,41.5,2
379,2016,192.7921243169399,3.9662147085610204,41.5,2
380,2013,181.91856392694064,2.1150696347031963,42.0,2
381,2014,181.9509189497717,1.8725102739726025,42.0,2
382,2015,192.1201392694064,1.7594760273972603,42.0,2
383,2016,187.79159039162113,2.2292702641165754,42.0,2
384,2013,162.37511872146118,2.1185342465753427,42.5,2
385,2014,169.5217899543379,1.824420091324201,42.5,2
386,2015,178.52075114155252,1.7083367579908677,42.5,2
387,2016,182.70258538251366,2.7754872495446268,42.5,2
388,2013,147.57957648401828,3.346930365296804,43.0,2
389,2014,159.1515205479452,2.972714611872146,43.0,2
390,2015,162.79358333333334,2.9269714611872146,43.0,2
391,2016,160.76172586520948,2.7754872495446268,43.0,2
392,2013,141.50366894977168,3.9639748858447486,43.5,2
393,2014,157.8658778538813,3.783575342465754,43.5,2
394,2015,160.79896347031962,3.8517808219178082,43.5,2
395,2016,159.30899817850639,3.4202015027322403,43.5,2
396,2013,150.52249315068494,2.8573584474885845,44.0,2
397,2014,162.7280296803653,2.7561700913242007,44.0,2
398,2015,167.45208561643835,2.680058219178082,44.0,2
399,2016,156.27804872495446,3.451818078324226,44.0,2
400,2013,145.6844086757991,2.9753961187214615,44.5,2
401,2014,157.36649429223743,2.8699714611872147,44.5,2
402,2015,167.1767123287671,2.85526598173516,44.5,2
403,2016,152.91625113843352,3.451818078324226,44.5,2
404,2013,137.5377203196347,3.025320776255708,45.0,2
405,2014,150.85047716894977,2.898602739726027,45.0,2
406,2015,163.4515901826484,2.874554794520548,45.0,2
407,2016,151.5297199453552,3.420706967213115,45.0,2
408,2013,135.1545605022831,3.015884703196347,45.5,2
409,2014,146.2121689497717,2.850819634703196,45.5,2
410,2015,158.09077283105023,2.738261415525114,45.5,2
411,2016,142.07735200364297,3.5311873861566485,45.5,2
412,2013,127.70772831050228,3.4773470319634705,46.0,2
413,2014,145.09149429223743,3.405239726027397,46.0,2
414,2015,149.25833219178082,3.3975422374429227,46.0,2
415,2016,141.2369990892532,3.5311873861566485,46.0,2
416,2013,130.29322374429222,3.1938447488584476,46.5,2
417,2014,148.82957305936074,3.1480776255707763,46.5,2
418,2015,150.78601826484018,3.169872146118722,46.5,2
419,2016,141.14541552823317,3.67959927140255,46.5,2
420,2013,135.01958675799088,3.3877191780821914,47.0,2
421,2014,148.3453299086758,3.3382511415525116,47.0,2
422,2015,153.7491484018265,3.361063926940639,47.0,2
423,2016,138.19787340619305,3.7689241803278692,47.0,2
424,2013,124.44986986301372,3.11713698630137,47.5,2
425,2014,141.97545319634702,3.08428196347032,47.5,2
426,2015,143.91373287671234,3.1993732876712326,47.5,2
427,2016,138.1499635701275,3.7689241803278692,47.5,2
428,2013,127.7458299086758,3.4691883561643837,48.0,2
429,2014,142.3537203196347,3.381823059360731,48.0,2
430,2015,144.24769292237443,3.520111872146119,48.0,2
431,2016,128.91809084699455,3.900906193078324,48.0,2
432,2013,129.35836757990867,3.9509657534246574,48.5,2
433,2014,140.04916666666665,3.8147260273972603,48.5,2
434,2015,145.52011529680365,4.013041095890411,48.5,2
435,2016,129.8569250910747,3.9535598816029145,48.5,2
436,2013,125.69046803652968,3.5363196347031964,49.0,2
437,2014,135.50854109589042,3.3668618721461185,49.0,2
438,2015,141.07826598173517,3.6150456621004565,49.0,2
439,2016,124.98385701275045,3.9535598816029145,49.0,2
440,2013,121.86844406392694,3.965925799086758,49.5,2
441,2014,131.0302305936073,3.7457831050228307,49.5,2
442,2015,136.35199657534247,4.025992009132421,49.5,2
443,2016,127.28437841530054,4.095389344262295,49.5,2
444,2013,119.32565525114155,4.003179223744292,50.0,2
445,2014,128.6777317351598,3.8520011415525115,50.0,2
446,2015,134.2237488584475,4.1267214611872145,50.0,2
447,2016,131.48760701275043,4.428844489981786,50.0,2
448,2013,116.9018892694064,4.185344748858448,50.5,2
449,2014,127.22209360730594,4.013125570776256,50.5,2
450,2015,129.87563470319634,4.327713470319634,50.5,2
451,2016,129.01812955373407,4.428844489981786,50.5,2
452,2013,174.17421347031964,3.5370251141552513,42.0,3
453,2014,177.81711872146118,3.153931506849315,42.0,3
454,2015,188.24406621004567,3.208478310502283,42.0,3
455,2016,182.1851627959927,2.6905510018214938,42.0,3
456,2013,163.54584474885846,4.442062785388128,42.5,3
457,2014,167.1833196347032,3.857876712328767,42.5,3
458,2015,180.32428538812786,3.517178082191781,42.5,3
459,2016,171.07231215846994,5.102289389799636,42.5,3
460,2013,168.26228310502285,6.827892694063927,43.0,3
461,2014,174.85903310502283,6.2896609589041095,43.0,3
462,2015,180.0602625570776,6.291288812785388,43.0,3
463,2016,159.5577948542805,5.102289389799636,43.0,3
464,2013,167.20897031963472,3.4902043378995433,43.5,3
465,2014,172.26591666666667,3.391961187214612,43.5,3
466,2015,180.90075228310502,3.2673150684931507,43.5,3
467,2016,154.87291438979963,3.8456944444444447,43.5,3
468,2013,144.68215068493149,4.171162100456621,44.0,3
469,2014,155.18476598173515,3.9944235159817354,44.0,3
470,2015,162.09033333333335,3.987513698630137,44.0,3
471,2016,153.35320924408015,3.5900819672131146,44.0,3
472,2013,144.72724543378993,3.1912568493150686,44.5,3
473,2014,154.57072374429225,2.9975605022831053,44.5,3
474,2015,167.21356164383562,2.9202682648401828,44.5,3
475,2016,150.22989526411658,3.5900819672131146,44.5,3
476,2013,137.48538698630136,3.2352716894977167,45.0,3
477,2014,150.17938926940639,3.029332191780822,45.0,3
478,2015,161.5707408675799,2.9254737442922374,45.0,3
479,2016,150.38288592896174,3.4593977686703097,45.0,3
480,2013,127.43029794520547,2.889219178082192,45.5,3
481,2014,140.99289497716896,2.6492899543378994,45.5,3
482,2015,150.39000570776255,2.660963470319635,45.5,3
483,2016,133.39384221311477,3.4338262750455373,45.5,3
484,2013,134.68666438356163,2.6402123287671233,46.0,3
485,2014,148.1075102739726,2.4628036529680366,46.0,3
486,2015,155.72520662100456,2.4224908675799086,46.0,3
487,2016,139.08504098360655,3.4338262750455373,46.0,3
488,2013,131.8654497716895,2.9326849315068495,46.5,3
489,2014,149.69491894977168,2.875898401826484,46.5,3
490,2015,154.69706278538814,2.9084132420091326,46.5,3
491,2016,137.8654633424408,3.532663934426229,46.5,3
492,2013,130.8220399543379,2.862464611872146,47.0,3
493,2014,147.06031278538813,2.8283892694063923,47.0,3
494,2015,151.46520547945204,2.8593504566210046,47.0,3
495,2016,136.41310109289617,3.6489469489981783,47.0,3
496,2013,130.16208333333336,3.3015730593607304,47.5,3
497,2014,144.43040867579907,3.23701598173516,47.5,3
498,2015,149.44491666666667,3.3190148401826485,47.5,3
499,2016,135.9220377959927,3.6489469489981783,47.5,3
500,2013,129.14926598173517,3.6792397260273972,48.0,3
501,2014,143.85099657534246,3.6217328767123287,48.0,3
502,2015,145.8200696347032,3.7735662100456624,48.0,3
503,2016,130.7919922586521,3.8289139344262297,48.0,3
504,2013,130.33427511415525,3.6523698630136985,48.5,3
505,2014,140.8420810502283,3.5523493150684935,48.5,3
506,2015,145.03381735159817,3.7325296803652965,48.5,3
507,2016,127.14115437158469,3.8975546448087433,48.5,3
508,2013,126.59716894977169,3.7927237442922377,49.0,3
509,2014,137.61209360730592,3.6997762557077625,49.0,3
510,2015,143.02441666666667,3.8645148401826486,49.0,3
511,2016,124.03670423497267,3.8975546448087433,49.0,3
512,2013,122.67809246575344,3.6732488584474887,49.5,3
513,2014,132.33792579908675,3.5360285388127854,49.5,3
514,2015,137.43666780821917,3.7622397260273974,49.5,3
515,2016,127.81458447176685,4.068315118397086,49.5,3
516,2013,121.88268721461188,3.9991175799086753,50.0,3
517,2014,130.95547374429222,3.8300376712328763,50.0,3
518,2015,134.73123630136985,4.0674600456621,50.0,3
519,2016,126.4429178051002,4.193822859744991,50.0,3
520,2013,118.50484589041095,3.987278538812785,50.5,3
521,2014,125.86854452054794,3.8864783105022833,50.5,3
522,2015,129.9513082191781,4.176436073059361,50.5,3
523,2016,132.71507855191257,4.193822859744991,50.5,3
524,2013,118.58442123287672,3.9025627853881275,51.0,3
525,2014,128.66482191780824,3.783972602739726,51.0,3
526,2015,129.780301369863,4.091906392694064,51.0,3
527,2016,132.81804986338798,4.4502538706739525,51.0,3
528,2013,91.24815068493152,8.175267123287671,60.5,3
529,2014,96.5608607305936,8.782817351598172,60.5,3
530,2015,92.1266906392694,8.823817351598173,60.5,3
531,2016,90.57426229508197,7.9458674863387975,60.5,3
